feedback_id,source,timestamp,text,state,district,service,category,language,experience,urgency,issue_date,action_requested,data_type
SURVEY_000015,Survey,2026-09-07 00:00:00,The online government service for residents of Gangtok needs better reliability.,Sikkim,Gangtok,Government Documents,Government Documents,English,Poor,Medium,2026-08-08,Yes,synthetic
SURVEY_000016,Survey,2025-04-09 20:41:00,Buses on the route near Bhopal are irregular and commuters are waiting for a long time. This needs attention from the concerned department.,Madhya Pradesh,Bhopal,Public Transport,Public Transport,English,Good,Medium,2025-02-25,Already resolved,synthetic
SURVEY_000017,Survey,2025-09-17 14:51:00,Power cuts in the Surat area are frequent and are affecting daily work. I hope the issue can be resolved soon.,Gujarat,Surat,Electricity,Electricity,English,Poor,Medium,2025-09-13,Yes,synthetic
SURVEY_000018,Survey,2025-03-12 12:00:00,There appears to be an issue with the electricity bill for the Visakhapatnam area. Please provide an update on the issue.,Andhra Pradesh,Visakhapatnam,Electricity,Electricity,English,Poor,Medium,2025-03-02,Yes,synthetic
SURVEY_000019,Survey,2025-04-07 23:34:00,My government document application from Berhampur has been delayed beyond the expected time.,Odisha,Berhampur,Government Documents,Government Documents,English,Good,Medium,2025-03-01,Yes,synthetic
SURVEY_000020,Survey,2026-06-10 05:04:00,कृपया इस समस्या पर ध्यान दें। A public service issue near Patna has remained unresolved for several days. I request the concerned authority to take action.,Bihar,Patna,Other Public Services,Other Public Services,Hindi,Average,High,2026-06-05,Yes,synthetic
SURVEY_000021,Survey,2026-09-07 00:00:00,कृपया इस समस्या पर ध्यान दें। The complaint handling process in Lucknow could be faster and easier to track. This needs attention from the concerned department.,Uttar Pradesh,Lucknow,Other Public Services,Other Public Services,Hindi,Poor,Medium,2026-08-21,Yes,synthetic
SURVEY_000022,Survey,2025-03-16 14:39:00,The public school near Tura needs improvements to basic facilities. I request the concerned authority to take action.,Meghalaya,Tura,Education,Education,English,Poor,Medium,2025-03-16,Already resolved,synthetic
SURVEY_000023,Survey,2025-07-09 17:45:00,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. A water pipeline appears to be leaking near Chandigarh and needs repair. I hope the issue can be resolved soon.,Chandigarh,Chandigarh,Water Supply,Water Supply,Telugu,Very Good,High,2025-06-11,Yes,synthetic
SURVEY_000024,Survey,2026-07-30 08:18:00,Public transport near Guntur is overcrowded during morning and evening peak hours. I request the concerned authority to take action.,Andhra Pradesh,Guntur,Public Transport,Public Transport,English,Very Good,Low,2026-07-21,Yes,synthetic
SURVEY_000025,Survey,2025-10-13 00:21:00,Traffic enforcement around Champhai should be improved during busy hours. This needs attention from the concerned department.,Mizoram,Champhai,Police & Public Safety,Police & Public Safety,English,Poor,High,2025-10-11,Yes,synthetic
SURVEY_000026,Survey,2025-07-06 01:53:00,There is a delay in processing document applications in Hubballi. I request the concerned authority to take action.,Karnataka,Hubballi,Government Documents,Government Documents,English,Good,Medium,2025-06-02,Already resolved,synthetic
SURVEY_000027,Survey,2026-01-15 21:15:00,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The road near Howrah has potholes and becomes difficult to use during peak hours. I hope the issue can be resolved soon.,West Bengal,Howrah,Roads & Traffic,Roads & Traffic,Tamil,Poor,High,2026-01-02,Already resolved,synthetic
SURVEY_000028,Survey,2025-02-06 23:59:00,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். We have been waiting for an electricity connection or service update in Haridwar.,Uttarakhand,Haridwar,Electricity,Electricity,Tamil,Good,Critical,2025-01-26,Already resolved,synthetic
SURVEY_000029,Survey,2026-05-11 06:52:00,Residents in Haridwar need easier access to primary healthcare services. I request the concerned authority to take action.,Uttarakhand,Haridwar,Healthcare,Healthcare,English,Poor,High,2026-04-27,Yes,synthetic
SURVEY_000030,Survey,2026-02-05 16:25:00,We have been waiting for an electricity connection or service update in Imphal.,Manipur,Imphal,Electricity,Electricity,English,Average,Medium,2025-12-26,No,synthetic
SURVEY_000031,Survey,2026-01-09 13:38:00,There has been an irregular water supply in the Panipat area for the past few days. I hope the issue can be resolved soon.,Haryana,Panipat,Water Supply,Water Supply,English,Average,Critical,2025-12-20,Yes,synthetic
SURVEY_000032,Survey,2025-08-13 13:04:00,"ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Street lights are not working properly near Jabalpur, making the road unsafe after dark. Please look into this issue.",Madhya Pradesh,Jabalpur,Roads & Traffic,Roads & Traffic,Malayalam,Good,Low,2025-07-21,Yes,synthetic
SURVEY_000033,Survey,2026-03-08 23:57:00,कृपया इस समस्या पर ध्यान दें। Students in Amritsar are facing delays in scholarship-related services. This needs attention from the concerned department.,Punjab,Amritsar,Education,Education,Hindi,Poor,High,2026-01-24,Yes,synthetic
SURVEY_000034,Survey,2025-12-25 14:28:00,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். Traffic congestion around Prayagraj is getting worse and better traffic management is needed. I request the concerned authority to take action.,Uttar Pradesh,Prayagraj,Roads & Traffic,Roads & Traffic,Tamil,Poor,Low,2025-11-26,Yes,synthetic
SURVEY_000035,Survey,2025-10-11 09:14:00,The certificate service near Margao requires too many visits and could be made easier. Please look into this issue.,Goa,Margao,Government Documents,Government Documents,English,Good,Medium,2025-08-29,Already resolved,synthetic
SURVEY_000036,Survey,2025-09-02 22:24:00,Residents in Tura need a clearer way to follow up on civic service complaints. I request the concerned authority to take action.,Meghalaya,Tura,Other Public Services,Other Public Services,English,Good,Low,2025-07-19,Yes,synthetic
SURVEY_000037,Survey,2026-08-09 03:29:00,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. Students in Visakhapatnam are facing delays in scholarship-related services.,Andhra Pradesh,Visakhapatnam,Education,Education,Kannada,Poor,High,2026-07-25,Yes,synthetic
SURVEY_000038,Survey,2026-08-13 05:47:00,कृपया इस समस्या पर ध्यान दें। The public safety issue reported near Silvassa needs quicker follow-up. I request the concerned authority to take action.,Dadra and Nagar Haveli and Daman and Diu,Silvassa,Police & Public Safety,Police & Public Safety,Hindi,Average,High,2026-07-16,Already resolved,synthetic
SURVEY_000039,Survey,2025-10-27 10:57:00,The police response near Mokokchung was delayed and the issue needs attention. I request the concerned authority to take action.,Nagaland,Mokokchung,Police & Public Safety,Police & Public Safety,English,Average,Medium,2025-10-06,Yes,synthetic
SURVEY_000040,Survey,2026-03-05 06:53:00,"Residents near Dharmanagar are facing water shortages, especially in the morning. I hope the issue can be resolved soon.",Tripura,Dharmanagar,Water Supply,Water Supply,English,Good,Low,2026-03-02,Yes,synthetic
SURVEY_000041,Survey,2026-04-09 23:47:00,Students in Pasighat are facing delays in scholarship-related services. This needs attention from the concerned department.,Arunachal Pradesh,Pasighat,Education,Education,English,Average,Critical,2026-03-06,Yes,synthetic
SURVEY_000042,Survey,2026-05-02 19:34:00,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The road near Durgapur has potholes and becomes difficult to use during peak hours.,West Bengal,Durgapur,Roads & Traffic,Roads & Traffic,Tamil,Average,Medium,2026-04-24,No,synthetic
SURVEY_000043,Survey,2025-09-03 10:21:00,Parents in Itanagar have reported delays in receiving information from the school. Please provide an update on the issue.,Arunachal Pradesh,Itanagar,Education,Education,English,Poor,Medium,2025-08-05,Yes,synthetic
SURVEY_000044,Survey,2025-04-22 01:48:00,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. The police response near Aizawl was delayed and the issue needs attention.,Mizoram,Aizawl,Police & Public Safety,Police & Public Safety,Malayalam,Very Poor,Medium,2025-03-12,Yes,synthetic
SURVEY_000045,Survey,2025-09-10 22:16:00,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The complaint handling process in Bhopal could be faster and easier to track. I hope the issue can be resolved soon.,Madhya Pradesh,Bhopal,Other Public Services,Other Public Services,Kannada,Poor,Low,2025-08-12,Yes,synthetic
SURVEY_000046,Survey,2026-02-14 22:12:00,The waiting time at the public health facility near Faridabad is very long. I request the concerned authority to take action.,Haryana,Faridabad,Healthcare,Healthcare,English,Very Poor,Low,2026-01-20,No,synthetic
SURVEY_000047,Survey,2026-07-27 21:23:00,कृपया इस समस्या पर ध्यान दें। A public service issue near Vadodara has remained unresolved for several days. This needs attention from the concerned department.,Gujarat,Vadodara,Other Public Services,Other Public Services,Hindi,Good,High,2026-06-30,Yes,synthetic
SURVEY_000048,Survey,2025-07-03 05:46:00,कृपया इस समस्या पर ध्यान दें। Residents near Tirupati are concerned about safety after dark. I hope the issue can be resolved soon.,Andhra Pradesh,Tirupati,Police & Public Safety,Police & Public Safety,Hindi,Very Poor,Critical,2025-06-06,Already resolved,synthetic
SURVEY_000049,Survey,2025-04-16 14:15:00,Parents in Kargil have reported delays in receiving information from the school. Please provide an update on the issue.,Ladakh,Kargil,Education,Education,English,Good,Medium,2025-03-30,Yes,synthetic
SURVEY_000050,Survey,2026-01-01 19:44:00,Residents near Gangtok are concerned about safety after dark. I hope the issue can be resolved soon.,Sikkim,Gangtok,Police & Public Safety,Police & Public Safety,English,Good,Low,2025-12-15,Already resolved,synthetic
SURVEY_000051,Survey,2026-06-15 00:05:00,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. We have been waiting for an electricity connection or service update in Bhopal. I request the concerned authority to take action.,Madhya Pradesh,Bhopal,Electricity,Electricity,Kannada,Good,Medium,2026-05-18,No,synthetic
SURVEY_000052,Survey,2026-02-09 14:17:00,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Residents near Amritsar are concerned about safety after dark. Please look into this issue.,Punjab,Amritsar,Police & Public Safety,Police & Public Safety,Malayalam,Average,Medium,2025-12-27,Yes,synthetic
SURVEY_000053,Survey,2026-05-28 23:37:00,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The bus stop near Jabalpur needs better cleanliness and maintenance.,Madhya Pradesh,Jabalpur,Public Transport,Public Transport,Kannada,Good,Critical,2026-05-11,Yes,synthetic
SURVEY_000054,Survey,2025-02-19 17:18:00,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The electricity voltage near Jabalpur is unstable and appliances are being affected. Please provide an update on the issue.,Madhya Pradesh,Jabalpur,Electricity,Electricity,Kannada,Average,Medium,2025-02-16,Yes,synthetic
SURVEY_000055,Survey,2025-10-16 03:52:00,A public service issue near Ahmedabad has remained unresolved for several days. Please look into this issue.,Gujarat,Ahmedabad,Other Public Services,Other Public Services,English,Poor,Medium,2025-09-16,Already resolved,synthetic
SURVEY_000056,Survey,2026-08-21 19:38:00,The water supplied in Gaya sometimes has an unusual smell and should be checked.,Bihar,Gaya,Water Supply,Water Supply,English,Good,Critical,2026-07-26,Yes,synthetic
SURVEY_000057,Survey,2025-04-11 23:06:00,Traffic enforcement around Udaipur should be improved during busy hours. This needs attention from the concerned department.,Tripura,Udaipur,Police & Public Safety,Police & Public Safety,English,Poor,Medium,2025-03-03,Yes,synthetic
SURVEY_000058,Survey,2026-09-07 00:00:00,The electricity voltage near Panaji is unstable and appliances are being affected. This needs attention from the concerned department.,Goa,Panaji,Electricity,Electricity,English,Poor,Low,2026-09-01,Yes,synthetic
SURVEY_000059,Survey,2025-08-18 03:34:00,कृपया इस समस्या पर ध्यान दें। The electricity voltage near Srinagar is unstable and appliances are being affected. This needs attention from the concerned department.,Jammu and Kashmir,Srinagar,Electricity,Electricity,Hindi,Very Good,High,2025-07-22,Yes,synthetic
SURVEY_000060,Survey,2025-11-20 03:29:00,"ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. Street lights are not working properly near Ranchi, making the road unsafe after dark. This needs attention from the concerned department.",Jharkhand,Ranchi,Roads & Traffic,Roads & Traffic,Kannada,Poor,Medium,2025-10-23,Yes,synthetic
SURVEY_000061,Survey,2025-09-15 02:14:00,The police response near Chandigarh was delayed and the issue needs attention.,Chandigarh,Chandigarh,Police & Public Safety,Police & Public Safety,English,Very Poor,Low,2025-09-14,Yes,synthetic
SURVEY_000062,Survey,2025-10-23 18:27:00,"कृपया इस समस्या पर ध्यान दें। Vehicles are frequently parked on the road near Mokokchung, causing unnecessary congestion.",Nagaland,Mokokchung,Roads & Traffic,Roads & Traffic,Hindi,Good,Low,2025-10-12,Yes,synthetic
SURVEY_000063,Survey,2026-06-10 21:25:00,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The public school near Kargil needs improvements to basic facilities. This needs attention from the concerned department.,Ladakh,Kargil,Education,Education,Telugu,Poor,High,2026-05-23,Yes,synthetic
SURVEY_000064,Survey,2026-08-08 13:03:00,कृपया इस समस्या पर ध्यान दें। Public transport near Lunglei is overcrowded during morning and evening peak hours. I hope the issue can be resolved soon.,Mizoram,Lunglei,Public Transport,Public Transport,Hindi,Very Good,Medium,2026-07-10,Already resolved,synthetic
SURVEY_000065,Survey,2026-05-19 00:40:00,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Traffic congestion around Oulgaret is getting worse and better traffic management is needed. This needs attention from the concerned department.,Puducherry,Oulgaret,Roads & Traffic,Roads & Traffic,Malayalam,Poor,Medium,2026-05-12,Yes,synthetic
SURVEY_000066,Survey,2025-06-11 04:31:00,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. There is a delay in processing document applications in Port Blair. This needs attention from the concerned department.,Andaman and Nicobar Islands,Port Blair,Government Documents,Government Documents,Telugu,Average,Low,2025-05-01,Yes,synthetic
SURVEY_000067,Survey,2026-06-13 02:17:00,The public safety issue reported near Rishikesh needs quicker follow-up. I hope the issue can be resolved soon.,Uttarakhand,Rishikesh,Police & Public Safety,Police & Public Safety,English,Poor,Medium,2026-06-05,Already resolved,synthetic
SURVEY_000068,Survey,2025-06-30 17:30:00,"कृपया इस समस्या पर ध्यान दें। The healthcare service near Kohima was helpful, but staffing appears to be limited. I hope the issue can be resolved soon.",Nagaland,Kohima,Healthcare,Healthcare,Hindi,Good,High,2025-06-02,Yes,synthetic
SURVEY_000069,Survey,2026-02-27 10:47:00,Waste disposal near Udaipur is creating an unpleasant environment for residents. Please provide an update on the issue.,Tripura,Udaipur,Sanitation & Waste,Sanitation & Waste,English,Good,Critical,2026-02-25,Yes,synthetic
SURVEY_000070,Survey,2025-05-11 03:33:00,"कृपया इस समस्या पर ध्यान दें। Residents near Dharmanagar are facing water shortages, especially in the morning. I request the concerned authority to take action.",Tripura,Dharmanagar,Water Supply,Water Supply,Hindi,Average,Low,2025-04-13,Yes,synthetic
SURVEY_000071,Survey,2025-04-14 21:54:00,Public transport services near Haridwar should be more frequent during peak hours.,Uttarakhand,Haridwar,Public Transport,Public Transport,English,Average,Critical,2025-03-24,No,synthetic
SURVEY_000072,Survey,2025-04-30 03:48:00,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. A public service issue near Puducherry has remained unresolved for several days. This needs attention from the concerned department.,Puducherry,Puducherry,Other Public Services,Other Public Services,Malayalam,Very Poor,Medium,2025-04-03,Already resolved,synthetic
SURVEY_000073,Survey,2026-07-24 18:43:00,The drainage near Itanagar needs cleaning because water is stagnating after rain. Please look into this issue.,Arunachal Pradesh,Itanagar,Sanitation & Waste,Sanitation & Waste,English,Good,Medium,2026-06-28,Yes,synthetic
SURVEY_000074,Survey,2026-05-02 21:00:00,There appears to be an issue with the electricity bill for the Dharmanagar area.,Tripura,Dharmanagar,Electricity,Electricity,English,Average,Medium,2026-04-16,Yes,synthetic
SURVEY_000075,Survey,2026-04-24 08:29:00,कृपया इस समस्या पर ध्यान दें। The bus stop near Kavaratti needs better cleanliness and maintenance. Please provide an update on the issue.,Lakshadweep,Kavaratti,Public Transport,Public Transport,Hindi,Average,Medium,2026-03-11,Yes,synthetic
SURVEY_000076,Survey,2025-03-06 12:17:00,Power cuts in the Leh area are frequent and are affecting daily work. Please look into this issue.,Ladakh,Leh,Electricity,Electricity,English,Average,Medium,2025-01-23,No,synthetic
SURVEY_000077,Survey,2025-06-30 03:57:00,कृपया इस समस्या पर ध्यान दें। Power cuts in the Oulgaret area are frequent and are affecting daily work. Please provide an update on the issue.,Puducherry,Oulgaret,Electricity,Electricity,Hindi,Average,Medium,2025-05-21,Yes,synthetic
SURVEY_000078,Survey,2025-06-19 11:33:00,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. A water pipeline appears to be leaking near Silchar and needs repair.,Assam,Silchar,Water Supply,Water Supply,Kannada,Very Poor,Medium,2025-05-16,Yes,synthetic
SURVEY_000079,Survey,2025-06-08 21:46:00,Residents in Lunglei need easier access to primary healthcare services.,Mizoram,Lunglei,Healthcare,Healthcare,English,Good,Medium,2025-05-25,Already resolved,synthetic
SURVEY_000080,Survey,2025-11-02 12:52:00,कृपया इस समस्या पर ध्यान दें। The bus stop near Port Blair needs better cleanliness and maintenance. I request the concerned authority to take action.,Andaman and Nicobar Islands,Port Blair,Public Transport,Public Transport,Hindi,Good,Low,2025-09-26,Yes,synthetic
SURVEY_000081,Survey,2025-04-15 14:58:00,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The complaint handling process in Leh could be faster and easier to track. Please look into this issue.,Ladakh,Leh,Other Public Services,Other Public Services,Telugu,Very Good,Medium,2025-03-06,Yes,synthetic
SURVEY_000082,Survey,2025-06-12 14:23:00,"Vehicles are frequently parked on the road near Shimla, causing unnecessary congestion. I request the concerned authority to take action.",Himachal Pradesh,Shimla,Roads & Traffic,Roads & Traffic,English,Poor,Medium,2025-05-19,Already resolved,synthetic
SURVEY_000083,Survey,2025-09-08 14:15:00,Residents near Dehradun are concerned about safety after dark. This needs attention from the concerned department.,Uttarakhand,Dehradun,Police & Public Safety,Police & Public Safety,English,Average,Critical,2025-08-11,No,synthetic
SURVEY_000084,Survey,2026-04-16 21:13:00,The road near Kavaratti has potholes and becomes difficult to use during peak hours. This needs attention from the concerned department.,Lakshadweep,Kavaratti,Roads & Traffic,Roads & Traffic,English,Average,Low,2026-04-11,Already resolved,synthetic
SURVEY_000085,Survey,2025-09-17 04:50:00,कृपया इस समस्या पर ध्यान दें। A public service issue near Shillong has remained unresolved for several days. I request the concerned authority to take action.,Meghalaya,Shillong,Other Public Services,Other Public Services,Hindi,Poor,High,2025-08-27,Yes,synthetic
SURVEY_000086,Survey,2025-10-08 10:01:00,The water supplied in Mandi sometimes has an unusual smell and should be checked. I request the concerned authority to take action.,Himachal Pradesh,Mandi,Water Supply,Water Supply,English,Very Poor,High,2025-09-01,Yes,synthetic
SURVEY_000087,Survey,2026-06-14 19:02:00,कृपया इस समस्या पर ध्यान दें। The bus stop near Dehradun needs better cleanliness and maintenance. Please look into this issue.,Uttarakhand,Dehradun,Public Transport,Public Transport,Hindi,Average,High,2026-05-31,Yes,synthetic
SURVEY_000088,Survey,2025-04-13 19:09:00,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The public school near Bhagalpur needs improvements to basic facilities. I hope the issue can be resolved soon.,Bihar,Bhagalpur,Education,Education,Kannada,Average,Low,2025-03-24,Yes,synthetic
SURVEY_000089,Survey,2025-05-26 03:54:00,Students in Port Blair are facing delays in scholarship-related services. I request the concerned authority to take action.,Andaman and Nicobar Islands,Port Blair,Education,Education,English,Very Good,Medium,2025-04-12,Yes,synthetic
SURVEY_000090,Survey,2025-10-12 04:43:00,The public safety issue reported near Haldwani needs quicker follow-up. Please look into this issue.,Uttarakhand,Haldwani,Police & Public Safety,Police & Public Safety,English,Average,High,2025-09-19,Yes,synthetic
SURVEY_000091,Survey,2026-09-03 10:42:00,Buses on the route near Margao are irregular and commuters are waiting for a long time. Please provide an update on the issue.,Goa,Margao,Public Transport,Public Transport,English,Good,Medium,2026-07-30,Yes,synthetic
SURVEY_000092,Survey,2026-05-23 03:22:00,कृपया इस समस्या पर ध्यान दें। The complaint handling process in Muzaffarpur could be faster and easier to track. This needs attention from the concerned department.,Bihar,Muzaffarpur,Other Public Services,Other Public Services,Hindi,Poor,Low,2026-05-09,Yes,synthetic
SURVEY_000093,Survey,2025-03-06 21:53:00,कृपया इस समस्या पर ध्यान दें। There is a delay in processing document applications in Thoubal. This needs attention from the concerned department.,Manipur,Thoubal,Government Documents,Government Documents,Hindi,Very Good,High,2025-01-27,Yes,synthetic
SURVEY_000094,Survey,2025-07-05 00:05:00,कृपया इस समस्या पर ध्यान दें। The drainage near Amritsar needs cleaning because water is stagnating after rain. Please provide an update on the issue.,Punjab,Amritsar,Sanitation & Waste,Sanitation & Waste,Hindi,Very Poor,High,2025-05-26,Yes,synthetic
SURVEY_000095,Survey,2025-03-04 05:48:00,"ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Garbage has not been collected regularly near Gangtok, and waste is accumulating. This needs attention from the concerned department.",Sikkim,Gangtok,Sanitation & Waste,Sanitation & Waste,Malayalam,Poor,Medium,2025-02-23,Yes,synthetic
SURVEY_000096,Survey,2026-01-16 03:18:00,The public safety issue reported near East Delhi needs quicker follow-up. This needs attention from the concerned department.,Delhi,East Delhi,Police & Public Safety,Police & Public Safety,English,Average,Medium,2025-12-20,Yes,synthetic
SURVEY_000097,Survey,2025-06-06 09:20:00,The public school near Dibrugarh needs improvements to basic facilities. Please provide an update on the issue.,Assam,Dibrugarh,Education,Education,English,Very Good,Low,2025-05-21,Already resolved,synthetic
SURVEY_000098,Survey,2026-01-02 12:55:00,कृपया इस समस्या पर ध्यान दें। The public school near Kochi needs improvements to basic facilities. Please provide an update on the issue.,Kerala,Kochi,Education,Education,Hindi,Average,Low,2025-12-29,Yes,synthetic
SURVEY_000099,Survey,2026-02-20 10:10:00,कृपया इस समस्या पर ध्यान दें। Residents in Bilaspur need a clearer way to follow up on civic service complaints.,Chhattisgarh,Bilaspur,Other Public Services,Other Public Services,Hindi,Average,Medium,2026-02-19,Yes,synthetic
SURVEY_000100,Survey,2026-03-01 23:21:00,कृपया इस समस्या पर ध्यान दें। Students in Hyderabad are facing delays in scholarship-related services. I request the concerned authority to take action.,Telangana,Hyderabad,Education,Education,Hindi,Good,Low,2026-02-10,Yes,synthetic
SURVEY_000101,Survey,2025-06-16 03:09:00,There is a delay in processing document applications in Raipur. I hope the issue can be resolved soon.,Chhattisgarh,Raipur,Government Documents,Government Documents,English,Average,High,2025-06-01,No,synthetic
SURVEY_000102,Survey,2026-09-07 00:00:00,A water pipeline appears to be leaking near Ranchi and needs repair.,Jharkhand,Ranchi,Water Supply,Water Supply,English,Very Good,Medium,2026-08-17,Yes,synthetic
SURVEY_000103,Survey,2025-03-21 16:04:00,Residents near Jodhpur are concerned about safety after dark. Please look into this issue.,Rajasthan,Jodhpur,Police & Public Safety,Police & Public Safety,English,Very Poor,Medium,2025-02-27,Yes,synthetic
SURVEY_000104,Survey,2026-06-28 14:37:00,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The waiting time at the public health facility near Muzaffarpur is very long. I hope the issue can be resolved soon.,Bihar,Muzaffarpur,Healthcare,Healthcare,Telugu,Very Poor,High,2026-06-04,Yes,synthetic
SURVEY_000105,Survey,2026-02-01 02:32:00,The civic facility near Jabalpur needs better maintenance. Please provide an update on the issue.,Madhya Pradesh,Jabalpur,Other Public Services,Other Public Services,English,Average,Low,2025-12-18,Yes,synthetic
SURVEY_000106,Survey,2026-09-07 00:00:00,The area around North Delhi needs more regular cleaning and waste collection. Please look into this issue.,Delhi,North Delhi,Sanitation & Waste,Sanitation & Waste,English,Average,Medium,2026-09-05,Yes,synthetic
