Timestamp,State,City/District,Public service,Experience,Tell us about your experience,Urgency,Issue date,Language,Would you like the concerned authority to take action?
2025-09-10 22:16:00,Madhya Pradesh,Bhopal,Other Public Services,Poor,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The complaint handling process in Bhopal could be faster and easier to track. I hope the issue can be resolved soon.,Low,2025-08-12,Kannada,Yes
2026-02-14 22:12:00,Haryana,Faridabad,Healthcare,Very Poor,The waiting time at the public health facility near Faridabad is very long. I request the concerned authority to take action.,Low,2026-01-20,English,No
2026-07-27 21:23:00,Gujarat,Vadodara,Other Public Services,Good,कृपया इस समस्या पर ध्यान दें। A public service issue near Vadodara has remained unresolved for several days. This needs attention from the concerned department.,High,2026-06-30,Hindi,Yes
2025-07-03 05:46:00,Andhra Pradesh,Tirupati,Police & Public Safety,Very Poor,कृपया इस समस्या पर ध्यान दें। Residents near Tirupati are concerned about safety after dark. I hope the issue can be resolved soon.,Critical,2025-06-06,Hindi,Already resolved
2025-04-16 14:15:00,Ladakh,Kargil,Education,Good,Parents in Kargil have reported delays in receiving information from the school. Please provide an update on the issue.,Medium,2025-03-30,English,Yes
2026-01-01 19:44:00,Sikkim,Gangtok,Police & Public Safety,Good,Residents near Gangtok are concerned about safety after dark. I hope the issue can be resolved soon.,Low,2025-12-15,English,Already resolved
2026-06-15 00:05:00,Madhya Pradesh,Bhopal,Electricity,Good,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. We have been waiting for an electricity connection or service update in Bhopal. I request the concerned authority to take action.,Medium,2026-05-18,Kannada,No
2026-02-09 14:17:00,Punjab,Amritsar,Police & Public Safety,Average,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Residents near Amritsar are concerned about safety after dark. Please look into this issue.,Medium,2025-12-27,Malayalam,Yes
2026-05-28 23:37:00,Madhya Pradesh,Jabalpur,Public Transport,Good,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The bus stop near Jabalpur needs better cleanliness and maintenance.,Critical,2026-05-11,Kannada,Yes
2025-02-19 17:18:00,Madhya Pradesh,Jabalpur,Electricity,Average,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The electricity voltage near Jabalpur is unstable and appliances are being affected. Please provide an update on the issue.,Medium,2025-02-16,Kannada,Yes
2025-10-16 03:52:00,Gujarat,Ahmedabad,Other Public Services,Poor,A public service issue near Ahmedabad has remained unresolved for several days. Please look into this issue.,Medium,2025-09-16,English,Already resolved
2026-08-21 19:38:00,Bihar,Gaya,Water Supply,Good,The water supplied in Gaya sometimes has an unusual smell and should be checked.,Critical,2026-07-26,English,Yes
2025-04-11 23:06:00,Tripura,Udaipur,Police & Public Safety,Poor,Traffic enforcement around Udaipur should be improved during busy hours. This needs attention from the concerned department.,Medium,2025-03-03,English,Yes
2026-09-07 00:00:00,Goa,Panaji,Electricity,Poor,The electricity voltage near Panaji is unstable and appliances are being affected. This needs attention from the concerned department.,Low,2026-09-01,English,Yes
2025-08-18 03:34:00,Jammu and Kashmir,Srinagar,Electricity,Very Good,कृपया इस समस्या पर ध्यान दें। The electricity voltage near Srinagar is unstable and appliances are being affected. This needs attention from the concerned department.,High,2025-07-22,Hindi,Yes
2025-11-20 03:29:00,Jharkhand,Ranchi,Roads & Traffic,Poor,"ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. Street lights are not working properly near Ranchi, making the road unsafe after dark. This needs attention from the concerned department.",Medium,2025-10-23,Kannada,Yes
2025-09-15 02:14:00,Chandigarh,Chandigarh,Police & Public Safety,Very Poor,The police response near Chandigarh was delayed and the issue needs attention.,Low,2025-09-14,English,Yes
2025-10-23 18:27:00,Nagaland,Mokokchung,Roads & Traffic,Good,"कृपया इस समस्या पर ध्यान दें। Vehicles are frequently parked on the road near Mokokchung, causing unnecessary congestion.",Low,2025-10-12,Hindi,Yes
2026-06-10 21:25:00,Ladakh,Kargil,Education,Poor,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The public school near Kargil needs improvements to basic facilities. This needs attention from the concerned department.,High,2026-05-23,Telugu,Yes
2026-08-08 13:03:00,Mizoram,Lunglei,Public Transport,Very Good,कृपया इस समस्या पर ध्यान दें। Public transport near Lunglei is overcrowded during morning and evening peak hours. I hope the issue can be resolved soon.,Medium,2026-07-10,Hindi,Already resolved
2026-05-19 00:40:00,Puducherry,Oulgaret,Roads & Traffic,Poor,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Traffic congestion around Oulgaret is getting worse and better traffic management is needed. This needs attention from the concerned department.,Medium,2026-05-12,Malayalam,Yes
2025-06-11 04:31:00,Andaman and Nicobar Islands,Port Blair,Government Documents,Average,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. There is a delay in processing document applications in Port Blair. This needs attention from the concerned department.,Low,2025-05-01,Telugu,Yes
2026-06-13 02:17:00,Uttarakhand,Rishikesh,Police & Public Safety,Poor,The public safety issue reported near Rishikesh needs quicker follow-up. I hope the issue can be resolved soon.,Medium,2026-06-05,English,Already resolved
2025-06-30 17:30:00,Nagaland,Kohima,Healthcare,Good,"कृपया इस समस्या पर ध्यान दें। The healthcare service near Kohima was helpful, but staffing appears to be limited. I hope the issue can be resolved soon.",High,2025-06-02,Hindi,Yes
2026-02-27 10:47:00,Tripura,Udaipur,Sanitation & Waste,Good,Waste disposal near Udaipur is creating an unpleasant environment for residents. Please provide an update on the issue.,Critical,2026-02-25,English,Yes
2025-05-11 03:33:00,Tripura,Dharmanagar,Water Supply,Average,"कृपया इस समस्या पर ध्यान दें। Residents near Dharmanagar are facing water shortages, especially in the morning. I request the concerned authority to take action.",Low,2025-04-13,Hindi,Yes
2025-04-14 21:54:00,Uttarakhand,Haridwar,Public Transport,Average,Public transport services near Haridwar should be more frequent during peak hours.,Critical,2025-03-24,English,No
2025-04-30 03:48:00,Puducherry,Puducherry,Other Public Services,Very Poor,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. A public service issue near Puducherry has remained unresolved for several days. This needs attention from the concerned department.,Medium,2025-04-03,Malayalam,Already resolved
2026-07-24 18:43:00,Arunachal Pradesh,Itanagar,Sanitation & Waste,Good,The drainage near Itanagar needs cleaning because water is stagnating after rain. Please look into this issue.,Medium,2026-06-28,English,Yes
2026-05-02 21:00:00,Tripura,Dharmanagar,Electricity,Average,There appears to be an issue with the electricity bill for the Dharmanagar area.,Medium,2026-04-16,English,Yes
2026-04-24 08:29:00,Lakshadweep,Kavaratti,Public Transport,Average,कृपया इस समस्या पर ध्यान दें। The bus stop near Kavaratti needs better cleanliness and maintenance. Please provide an update on the issue.,Medium,2026-03-11,Hindi,Yes
2025-03-06 12:17:00,Ladakh,Leh,Electricity,Average,Power cuts in the Leh area are frequent and are affecting daily work. Please look into this issue.,Medium,2025-01-23,English,No
2025-06-30 03:57:00,Puducherry,Oulgaret,Electricity,Average,कृपया इस समस्या पर ध्यान दें। Power cuts in the Oulgaret area are frequent and are affecting daily work. Please provide an update on the issue.,Medium,2025-05-21,Hindi,Yes
2025-06-19 11:33:00,Assam,Silchar,Water Supply,Very Poor,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. A water pipeline appears to be leaking near Silchar and needs repair.,Medium,2025-05-16,Kannada,Yes
2025-06-08 21:46:00,Mizoram,Lunglei,Healthcare,Good,Residents in Lunglei need easier access to primary healthcare services.,Medium,2025-05-25,English,Already resolved
2025-11-02 12:52:00,Andaman and Nicobar Islands,Port Blair,Public Transport,Good,कृपया इस समस्या पर ध्यान दें। The bus stop near Port Blair needs better cleanliness and maintenance. I request the concerned authority to take action.,Low,2025-09-26,Hindi,Yes
2025-04-15 14:58:00,Ladakh,Leh,Other Public Services,Very Good,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The complaint handling process in Leh could be faster and easier to track. Please look into this issue.,Medium,2025-03-06,Telugu,Yes
2025-06-12 14:23:00,Himachal Pradesh,Shimla,Roads & Traffic,Poor,"Vehicles are frequently parked on the road near Shimla, causing unnecessary congestion. I request the concerned authority to take action.",Medium,2025-05-19,English,Already resolved
2025-09-08 14:15:00,Uttarakhand,Dehradun,Police & Public Safety,Average,Residents near Dehradun are concerned about safety after dark. This needs attention from the concerned department.,Critical,2025-08-11,English,No
2026-04-16 21:13:00,Lakshadweep,Kavaratti,Roads & Traffic,Average,The road near Kavaratti has potholes and becomes difficult to use during peak hours. This needs attention from the concerned department.,Low,2026-04-11,English,Already resolved
2025-09-17 04:50:00,Meghalaya,Shillong,Other Public Services,Poor,कृपया इस समस्या पर ध्यान दें। A public service issue near Shillong has remained unresolved for several days. I request the concerned authority to take action.,High,2025-08-27,Hindi,Yes
2025-10-08 10:01:00,Himachal Pradesh,Mandi,Water Supply,Very Poor,The water supplied in Mandi sometimes has an unusual smell and should be checked. I request the concerned authority to take action.,High,2025-09-01,English,Yes
2026-06-14 19:02:00,Uttarakhand,Dehradun,Public Transport,Average,कृपया इस समस्या पर ध्यान दें। The bus stop near Dehradun needs better cleanliness and maintenance. Please look into this issue.,High,2026-05-31,Hindi,Yes
2025-04-13 19:09:00,Bihar,Bhagalpur,Education,Average,ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. The public school near Bhagalpur needs improvements to basic facilities. I hope the issue can be resolved soon.,Low,2025-03-24,Kannada,Yes
2025-05-26 03:54:00,Andaman and Nicobar Islands,Port Blair,Education,Very Good,Students in Port Blair are facing delays in scholarship-related services. I request the concerned authority to take action.,Medium,2025-04-12,English,Yes
2025-10-12 04:43:00,Uttarakhand,Haldwani,Police & Public Safety,Average,The public safety issue reported near Haldwani needs quicker follow-up. Please look into this issue.,High,2025-09-19,English,Yes
2026-09-03 10:42:00,Goa,Margao,Public Transport,Good,Buses on the route near Margao are irregular and commuters are waiting for a long time. Please provide an update on the issue.,Medium,2026-07-30,English,Yes
2026-05-23 03:22:00,Bihar,Muzaffarpur,Other Public Services,Poor,कृपया इस समस्या पर ध्यान दें। The complaint handling process in Muzaffarpur could be faster and easier to track. This needs attention from the concerned department.,Low,2026-05-09,Hindi,Yes
2025-03-06 21:53:00,Manipur,Thoubal,Government Documents,Very Good,कृपया इस समस्या पर ध्यान दें। There is a delay in processing document applications in Thoubal. This needs attention from the concerned department.,High,2025-01-27,Hindi,Yes
2025-07-05 00:05:00,Punjab,Amritsar,Sanitation & Waste,Very Poor,कृपया इस समस्या पर ध्यान दें। The drainage near Amritsar needs cleaning because water is stagnating after rain. Please provide an update on the issue.,High,2025-05-26,Hindi,Yes
2025-03-04 05:48:00,Sikkim,Gangtok,Sanitation & Waste,Poor,"ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. Garbage has not been collected regularly near Gangtok, and waste is accumulating. This needs attention from the concerned department.",Medium,2025-02-23,Malayalam,Yes
2026-01-16 03:18:00,Delhi,East Delhi,Police & Public Safety,Average,The public safety issue reported near East Delhi needs quicker follow-up. This needs attention from the concerned department.,Medium,2025-12-20,English,Yes
2025-06-06 09:20:00,Assam,Dibrugarh,Education,Very Good,The public school near Dibrugarh needs improvements to basic facilities. Please provide an update on the issue.,Low,2025-05-21,English,Already resolved
2026-01-02 12:55:00,Kerala,Kochi,Education,Average,कृपया इस समस्या पर ध्यान दें। The public school near Kochi needs improvements to basic facilities. Please provide an update on the issue.,Low,2025-12-29,Hindi,Yes
2026-02-20 10:10:00,Chhattisgarh,Bilaspur,Other Public Services,Average,कृपया इस समस्या पर ध्यान दें। Residents in Bilaspur need a clearer way to follow up on civic service complaints.,Medium,2026-02-19,Hindi,Yes
2026-03-01 23:21:00,Telangana,Hyderabad,Education,Good,कृपया इस समस्या पर ध्यान दें। Students in Hyderabad are facing delays in scholarship-related services. I request the concerned authority to take action.,Low,2026-02-10,Hindi,Yes
2025-06-16 03:09:00,Chhattisgarh,Raipur,Government Documents,Average,There is a delay in processing document applications in Raipur. I hope the issue can be resolved soon.,High,2025-06-01,English,No
2026-09-07 00:00:00,Jharkhand,Ranchi,Water Supply,Very Good,A water pipeline appears to be leaking near Ranchi and needs repair.,Medium,2026-08-17,English,Yes
2025-03-21 16:04:00,Rajasthan,Jodhpur,Police & Public Safety,Very Poor,Residents near Jodhpur are concerned about safety after dark. Please look into this issue.,Medium,2025-02-27,English,Yes
2026-06-28 14:37:00,Bihar,Muzaffarpur,Healthcare,Very Poor,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. The waiting time at the public health facility near Muzaffarpur is very long. I hope the issue can be resolved soon.,High,2026-06-04,Telugu,Yes
2026-02-01 02:32:00,Madhya Pradesh,Jabalpur,Other Public Services,Average,The civic facility near Jabalpur needs better maintenance. Please provide an update on the issue.,Low,2025-12-18,English,Yes
2026-09-07 00:00:00,Delhi,North Delhi,Sanitation & Waste,Average,The area around North Delhi needs more regular cleaning and waste collection. Please look into this issue.,Medium,2026-09-05,English,Yes
2025-06-24 02:37:00,Andaman and Nicobar Islands,Port Blair,Healthcare,Poor,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. The government hospital near Port Blair needs better availability of essential medicines.,High,2025-06-03,Malayalam,Yes
2025-12-11 21:44:00,Punjab,Jalandhar,Water Supply,Average,There has been an irregular water supply in the Jalandhar area for the past few days. Please provide an update on the issue.,Critical,2025-12-03,English,Yes
2026-05-25 07:08:00,Chandigarh,Chandigarh,Roads & Traffic,Average,Traffic congestion around Chandigarh is getting worse and better traffic management is needed. Please look into this issue.,Low,2026-05-13,English,Already resolved
2025-08-18 19:51:00,Chandigarh,Chandigarh,Sanitation & Waste,Good,कृपया इस समस्या पर ध्यान दें। The drainage near Chandigarh needs cleaning because water is stagnating after rain.,Medium,2025-07-05,Hindi,Yes
2026-04-19 17:15:00,Assam,Jorhat,Sanitation & Waste,Good,The area around Jorhat needs more regular cleaning and waste collection.,Low,2026-04-05,English,Yes
2026-02-28 16:26:00,Ladakh,Leh,Sanitation & Waste,Good,The drainage near Leh needs cleaning because water is stagnating after rain.,Medium,2026-01-27,English,No
2026-06-20 09:05:00,Himachal Pradesh,Mandi,Roads & Traffic,Good,कृपया इस समस्या पर ध्यान दें। Traffic congestion around Mandi is getting worse and better traffic management is needed. I hope the issue can be resolved soon.,High,2026-06-13,Hindi,Yes
2025-02-23 01:25:00,Jharkhand,Bokaro,Public Transport,Very Good,The bus stop near Bokaro needs better cleanliness and maintenance. Please look into this issue.,Low,2025-01-28,English,Yes
2025-06-07 01:18:00,Telangana,Warangal,Roads & Traffic,Poor,"ದಯವಿಟ್ಟು ಈ ಸಮಸ್ಯೆಯ ಬಗ್ಗೆ ಗಮನ ಹರಿಸಿ. Vehicles are frequently parked on the road near Warangal, causing unnecessary congestion. I request the concerned authority to take action.",Low,2025-05-30,Kannada,Yes
2026-08-23 16:27:00,Ladakh,Kargil,Other Public Services,Very Poor,A public service issue near Kargil has remained unresolved for several days.,Low,2026-07-16,English,Already resolved
2025-05-25 19:34:00,Meghalaya,Tura,Public Transport,Very Poor,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். Buses on the route near Tura are irregular and commuters are waiting for a long time. I hope the issue can be resolved soon.,Medium,2025-04-24,Tamil,Yes
2025-08-22 21:05:00,Meghalaya,Nongpoh,Water Supply,Poor,A water pipeline appears to be leaking near Nongpoh and needs repair. I hope the issue can be resolved soon.,Low,2025-07-11,English,Yes
2025-02-08 02:22:00,Lakshadweep,Kavaratti,Education,Good,Students in Kavaratti are facing delays in scholarship-related services.,Low,2025-01-17,English,Yes
2026-06-04 15:40:00,Gujarat,Vadodara,Water Supply,Very Poor,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். The water supplied in Vadodara sometimes has an unusual smell and should be checked.,Medium,2026-04-21,Tamil,Yes
2025-12-16 12:52:00,Chhattisgarh,Durg,Roads & Traffic,Poor,"Vehicles are frequently parked on the road near Durg, causing unnecessary congestion. I request the concerned authority to take action.",Low,2025-11-14,English,Yes
2026-03-14 12:21:00,Odisha,Rourkela,Roads & Traffic,Good,Traffic congestion around Rourkela is getting worse and better traffic management is needed. Please provide an update on the issue.,Medium,2026-02-14,English,Yes
2026-07-31 10:06:00,Telangana,Nizamabad,Public Transport,Good,कृपया इस समस्या पर ध्यान दें। Buses on the route near Nizamabad are irregular and commuters are waiting for a long time. This needs attention from the concerned department.,Low,2026-07-13,Hindi,Already resolved
2026-02-05 13:17:00,Punjab,Jalandhar,Other Public Services,Good,A public service issue near Jalandhar has remained unresolved for several days. Please provide an update on the issue.,Low,2025-12-28,English,Yes
2025-03-25 20:23:00,Telangana,Warangal,Roads & Traffic,Poor,"தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். Street lights are not working properly near Warangal, making the road unsafe after dark. I hope the issue can be resolved soon.",Medium,2025-03-10,Tamil,Yes
2026-07-20 12:20:00,Assam,Dibrugarh,Police & Public Safety,Very Good,தயவுசெய்து இந்த பிரச்சினையை கவனிக்கவும். Residents near Dibrugarh are concerned about safety after dark. Please look into this issue.,Medium,2026-06-27,Tamil,Yes
2025-11-08 14:13:00,Arunachal Pradesh,Pasighat,Water Supply,Average,कृपया इस समस्या पर ध्यान दें। A water pipeline appears to be leaking near Pasighat and needs repair. Please provide an update on the issue.,Medium,2025-09-24,Hindi,Yes
2025-05-13 10:42:00,Madhya Pradesh,Bhopal,Water Supply,Good,దయచేసి ఈ సమస్యపై దృష్టి పెట్టండి. A water pipeline appears to be leaking near Bhopal and needs repair. I hope the issue can be resolved soon.,Medium,2025-03-31,Telugu,Yes
2026-02-07 07:07:00,Lakshadweep,Kavaratti,Healthcare,Good,ദയവായി ഈ പ്രശ്നത്തിൽ ശ്രദ്ധ ചെലുത്തുക. The government hospital near Kavaratti needs better availability of essential medicines.,High,2026-01-06,Malayalam,Yes
2025-06-21 02:04:00,Meghalaya,Tura,Roads & Traffic,Average,"Street lights are not working properly near Tura, making the road unsafe after dark. Please provide an update on the issue.",Medium,2025-05-13,English,Already resolved
